data;symbol;interval;estimator;stop_loss;regression_times;times_regression_profit_and_loss;profit_and_loss_value;start_value;final_value;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;model_name;arguments;score
2023-09-22 18:09:11;BTCUSDT;1h;knn;1.5;0;12;-10.9;100.0;89.1;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.28][ESTAVEL=0.44][SOBE_1.5=0.23]
2023-09-22 18:09:18;BTCUSDT;1h;knn;1.5;0;24;-9.4;100.0;90.6;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.48][ESTAVEL=0.12][SOBE_1.5=0.36]
2023-09-22 18:09:37;BTCUSDT;1h;knn;2.0;0;24;-8.96;100.0;91.04;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.42][ESTAVEL=0.27][SOBE_2.0=0.36]
2023-09-22 18:09:28;BTCUSDT;1h;knn;2.0;0;12;-8.76;100.0;91.24;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.27][ESTAVEL=0.59][SOBE_2.0=0.18]
2023-09-22 18:09:13;BTCUSDT;1h;knn;1.5;0;12;-5.93;100.0;94.07;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.24][ESTAVEL=0.47][SOBE_1.5=0.25]
2023-09-22 18:09:02;BTCUSDT;1h;knn;1.5;0;6;-5.65;100.0;94.35;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.19][ESTAVEL=0.75][SOBE_1.5=0.14]
2023-09-22 18:09:14;BTCUSDT;1h;knn;1.5;0;24;-5.42;100.0;94.58;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.49][ESTAVEL=0.12][SOBE_1.5=0.36]
2023-09-22 18:08:59;BTCUSDT;1h;knn;1.5;0;6;-5.17;100.0;94.83;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.20][ESTAVEL=0.73][SOBE_1.5=0.09]
2023-09-22 18:09:34;BTCUSDT;1h;knn;2.0;0;12;-5.09;100.0;94.91;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.18][ESTAVEL=0.64][SOBE_2.0=0.19]
2023-09-22 18:09:25;BTCUSDT;1h;knn;2.0;0;6;-3.39;100.0;96.61;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.22][ESTAVEL=0.84][SOBE_2.0=0.08]
2023-09-22 18:08:54;BTCUSDT;1h;knn;1.5;0;6;1.59;100.0;101.59;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.16][ESTAVEL=0.69][SOBE_1.5=0.11]
2023-09-22 18:09:20;BTCUSDT;1h;knn;1.5;0;24;2.81;100.0;102.81;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.42][ESTAVEL=0.16][SOBE_1.5=0.39]
2023-09-22 18:09:39;BTCUSDT;1h;knn;2.0;0;24;6.15;100.0;106.15;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.39][ESTAVEL=0.29][SOBE_2.0=0.30]
2023-09-22 18:09:35;BTCUSDT;1h;knn;2.0;0;24;6.31;100.0;106.31;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.52][ESTAVEL=0.28][SOBE_2.0=0.27]
2023-09-22 18:09:41;BTCUSDT;1h;knn;2.0;0;24;7.54;100.0;107.54;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.38][ESTAVEL=0.28][SOBE_2.0=0.33]
2023-09-22 18:09:32;BTCUSDT;1h;knn;2.0;0;12;11.68;100.0;111.68;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.28][ESTAVEL=0.64][SOBE_2.0=0.19]
2023-09-22 18:09:23;BTCUSDT;1h;knn;2.0;0;6;13.43;100.0;113.43;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.04][ESTAVEL=0.84][SOBE_2.0=0.03]
2023-09-22 18:09:05;BTCUSDT;1h;knn;1.5;0;12;14.04;100.0;114.04;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.32][ESTAVEL=0.42][SOBE_1.5=0.24]
2023-09-22 18:09:30;BTCUSDT;1h;knn;2.0;0;12;14.37;100.0;114.37;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.18][ESTAVEL=0.62][SOBE_2.0=0.13]
2023-09-22 18:09:08;BTCUSDT;1h;knn;1.5;0;12;16.05;100.0;116.05;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.25][ESTAVEL=0.47][SOBE_1.5=0.20]
2023-09-22 18:09:16;BTCUSDT;1h;knn;1.5;0;24;22.08;100.0;122.08;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.42][ESTAVEL=0.15][SOBE_1.5=0.45]
